"filename", "language", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\App.js", "JavaScript", 0, 0, 137, 0, 4, 141
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\App.test.js", "JavaScript", 0, 0, 13, 0, 3, 16
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\app\store.js", "JavaScript", 0, 0, 13, 0, 2, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\assets\image\learningportal.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\assets\image\lws.svg", "XML", 0, 31, 0, 0, 1, 32
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\assets\image\search.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\AdminAssignmentTable\AdminAssignmentTable.js", "JavaScript", 0, 0, 27, 0, 4, 31
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\AdminAssignmentTable\AssignmentTableRow.js", "JavaScript", 0, 0, 47, 0, 3, 50
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\AdminLoginForm\AdminLoginForm.js", "JavaScript", 0, 0, 114, 0, 9, 123
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\AdminVideoTable\AdminVideoTable.js", "JavaScript", 0, 0, 23, 0, 4, 27
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\AdminVideoTable\VideoTableRow.js", "JavaScript", 0, 0, 62, 0, 5, 67
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\Navbar\Navbar.js", "JavaScript", 0, 0, 68, 2, 7, 77
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\RoutesCheck\AdminProtected.js", "JavaScript", 0, 0, 9, 2, 4, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\RoutesCheck\ProtectedRoute.js", "JavaScript", 0, 0, 13, 2, 3, 18
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\RoutesCheck\PublicRoute.js", "JavaScript", 0, 0, 16, 0, 4, 20
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentLeaderBoard\OthersRank.js", "JavaScript", 0, 0, 49, 3, 7, 59
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentLeaderBoard\OwnRank.js", "JavaScript", 0, 0, 31, 0, 4, 35
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentLeaderBoard\UserTableRow.js", "JavaScript", 0, 0, 14, 0, 3, 17
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentLoginForm\StudentLoginForm.js", "JavaScript", 0, 0, 123, 1, 9, 133
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentQuiz\QuizLayout.js", "JavaScript", 0, 0, 21, 0, 4, 25
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentQuiz\Quizzes.js", "JavaScript", 0, 0, 68, 0, 10, 78
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\StudentRegistrationForm\StudentRegistrationForm.js", "JavaScript", 0, 0, 142, 0, 8, 150
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\VideoPlayer\VideoItem.js", "JavaScript", 0, 0, 47, 0, 5, 52
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\VideoPlayer\VideoPlayer.js", "JavaScript", 0, 0, 154, 0, 13, 167
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\components\VideoPlayer\VideoPlayerSidebar.js", "JavaScript", 0, 0, 18, 0, 3, 21
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\api\apiSlice.js", "JavaScript", 0, 0, 9, 0, 2, 11
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\assignment\assignmentApi.js", "JavaScript", 0, 0, 103, 5, 8, 116
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\auth\authApi.js", "JavaScript", 0, 0, 41, 0, 6, 47
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\auth\authSlice.js", "JavaScript", 0, 0, 21, 0, 4, 25
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\getVideos\getVideosApi.js", "JavaScript", 0, 0, 142, 7, 10, 159
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\getVideos\getVideosSlice.js", "JavaScript", 0, 0, 15, 0, 4, 19
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\features\leaderBoardMarks\leaderBoardMarksApi.js", "JavaScript", 0, 0, 16, 0, 4, 20
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\hooks\useAuthCheck.js", "JavaScript", 0, 0, 23, 0, 4, 27
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\hooks\useLoggedUser.js", "JavaScript", 0, 0, 10, 1, 4, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\index.css", "CSS", 1105, 0, 0, 154, 258, 1517
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\index.js", "JavaScript", 0, 0, 20, 3, 4, 27
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\logo.svg", "XML", 0, 1, 0, 0, 1, 2
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminAddAssignment.js", "JavaScript", 0, 0, 92, 0, 5, 97
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminAddVideo.js", "JavaScript", 0, 0, 137, 8, 9, 154
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminAssignment.js", "JavaScript", 0, 0, 44, 0, 4, 48
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminDashboard.js", "JavaScript", 0, 0, 82, 0, 10, 92
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminEditAssignment.js", "JavaScript", 0, 0, 145, 0, 9, 154
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminEditVideo.js", "JavaScript", 0, 0, 184, 0, 12, 196
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminLogin.js", "JavaScript", 0, 0, 12, 0, 3, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminQuizzes.js", "JavaScript", 0, 0, 8, 0, 3, 11
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Admin\AdminVideos.js", "JavaScript", 0, 0, 37, 0, 5, 42
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Student\CourseAssignment.js", "JavaScript", 0, 0, 8, 0, 3, 11
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Student\CoursePlayer.js", "JavaScript", 0, 0, 34, 0, 5, 39
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Student\CourseQuiz.js", "JavaScript", 0, 0, 14, 0, 3, 17
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Student\LeaderBoard.js", "JavaScript", 0, 0, 18, 0, 3, 21
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Student\StudentLogin.js", "JavaScript", 0, 0, 12, 0, 3, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\pages\Student\StudentRegistration.js", "JavaScript", 0, 0, 12, 0, 3, 15
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 2, 14
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\setupTests.js", "JavaScript", 0, 0, 1, 4, 1, 6
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\utils\checkValidEmail.js", "JavaScript", 0, 0, 6, 0, 3, 9
"c:\PHero2\lws-redux\assignments\assignment-10\learning-portal\src\utils\marksCalculator.js", "JavaScript", 0, 0, 18, 2, 6, 26
"Total", "-", 1105, 44, 2485, 194, 522, 4350